#{"t_start": 1787083828.3332922, "env_id": "LunarLander-v3"}
r,l,t
-48.678635,104,0.299586
-135.058159,74,0.474001
-131.374818,86,0.684927
-107.080694,77,0.902821
-165.863325,123,1.229392
-86.297959,70,1.411186
-118.134824,68,1.587421
-77.045036,96,1.834391
-290.535164,114,2.127128
-72.646405,73,2.316284
-116.475117,90,2.546214
-52.175958,90,2.777401
-92.829384,129,3.111878
-75.479256,66,3.282164
-118.767483,67,3.461712
-116.708382,60,3.587359
-72.427459,68,3.756277
-320.607657,102,4.018427
-157.513509,101,4.227496
-405.089648,103,4.455879
-405.257756,79,4.661106
-104.677334,57,4.809325
-237.88069,131,5.136961
-194.638443,102,5.338532
-384.18153,98,5.594476
-250.867145,75,5.787066
-217.174176,90,6.021651
-265.077877,70,6.187698
-115.041443,108,6.470124
-75.266581,69,6.656497
-297.231624,140,7.013156
-85.058556,61,7.134232
-153.622626,87,7.339706
-239.757655,107,7.490058
-119.099901,105,7.760666
-269.299991,95,8.004001
-171.812956,111,8.276968
-99.032133,61,8.364873
-103.565746,114,8.582682
-278.387916,116,8.881015
-297.251379,122,9.191853
-84.395438,80,9.395326
-348.763012,96,9.644247
-263.699842,104,9.912958
-250.189833,105,20.893642
-48.906233,65,20.998209
-118.507232,93,21.22192
-180.730793,112,21.51762
-108.048263,101,21.780419
-223.108289,127,22.107419
-121.807613,72,22.293493
-59.358208,98,22.453709
-78.201507,74,22.563165
-72.024167,144,22.938681
-144.375244,84,23.155818
-49.707517,71,23.341354
-85.766613,71,23.523653
-85.845879,112,23.802422
-149.153722,113,24.093328
-121.460627,98,24.344154
-478.430185,107,24.617006
-372.254082,98,24.873597
-114.296635,72,25.060411
-90.893729,84,25.273767
-98.929853,72,25.459347
-82.536798,72,25.644755
-131.323523,100,25.897982
-79.00173,68,26.081468
-261.148674,83,26.222301
-105.40607,97,26.36494
-114.805403,84,26.488362
-259.516313,114,26.731728
-347.244642,115,27.026426
-128.28026,129,27.36259
-506.197606,101,27.622765
5.74681,64,27.788156
-105.795676,96,28.038406
-167.212353,108,28.315082
-47.660454,95,28.560128
-103.263289,83,28.771574
-438.85753,110,29.054253
-124.32461,86,29.271309
-123.057308,92,29.504535
-87.389752,84,29.726085
-90.073595,64,29.894471
-97.293378,73,30.083424
-57.474112,70,30.268636
-113.417228,62,30.378383
-366.951481,115,30.671127
-230.687452,103,41.456586
-174.563805,119,41.634904
-50.203338,138,41.90851
-97.091842,70,42.091637
-128.025395,120,42.399331
-108.19214,71,42.583106
-148.482788,99,42.774716
-76.175789,82,42.895126
-77.120801,93,43.066355
-83.266634,75,43.167844
-67.329856,73,43.291119
-150.603604,121,43.605092
-81.037558,65,43.754647
-96.720905,96,44.004526
-152.336975,96,44.255665
-129.110362,109,44.532341
-73.150437,99,44.787533
-182.472516,91,45.013466
-288.680905,115,45.313013
-128.023199,79,45.516695
-89.423163,80,45.723291
-106.792604,81,45.928677
-153.586089,88,46.163894
-240.408353,127,46.493749
-88.700829,120,46.803564
-116.590652,61,46.959296
-98.253396,71,47.143028
-67.34561,60,47.294731
-94.781385,115,47.591746
-89.325476,86,47.811159
-329.16808,145,48.182256
-113.869277,103,48.44106
-117.698779,79,48.642742
-93.06242,101,48.898487
-29.313587,97,49.145901
-161.94602,133,49.473645
-80.386018,76,49.680566
-237.176099,112,49.966951
-62.049985,63,50.127701
-49.724073,76,50.322328
-39.162761,74,50.513624
-233.674809,80,50.72286
-111.286351,106,50.993871
-72.832103,129,61.943926
-102.021001,92,62.103911
-74.864872,118,62.365372
-221.377053,110,62.585425
-236.291072,95,62.783067
-60.387456,61,62.937376
-67.753611,73,63.123196
-104.187362,117,63.423605
-210.978403,75,63.619784
-88.833071,144,63.991131
-342.487738,114,64.283802
-234.076724,86,64.503581
-133.052098,75,64.697405
-69.530751,74,64.897479
-170.638537,117,65.154449
-118.258752,103,65.327897
-70.16638,78,65.456407
-247.065774,92,65.622029
-65.606256,109,65.808222
-75.437858,119,66.124238
-166.263606,78,66.331948
-137.604653,112,66.635006
-121.489582,104,66.871117
-108.169052,81,67.047118
-166.583475,113,67.289854
-277.869719,150,67.549229
10.042462,114,67.842236
-73.196305,64,68.004244
-121.742209,89,68.238777
-113.377723,66,68.408042
-336.196562,103,68.674838
-174.058267,119,68.981028
-84.516715,106,69.251617
-37.933492,110,69.532173
-181.745769,130,69.865662
-140.483928,102,70.128275
-89.715601,70,70.31032
-305.796796,115,70.513696
-462.213297,129,70.841638
-97.002248,117,71.147708
-187.738706,88,71.371773
-68.968135,126,82.516061
-262.749794,115,82.811442
-128.494362,104,83.081173
-26.078491,101,83.341656
-62.564972,69,83.519413
-239.878208,92,83.756413
-157.086611,80,83.960759
-95.081574,63,84.121
-112.678276,83,84.335665
-62.972024,144,84.699659
-99.316205,118,85.006277
-68.32972,69,85.185495
-127.116397,87,85.407443
-219.161728,95,85.653578
-97.982321,84,85.865008
-248.479947,118,86.171527
-76.362496,110,86.454637
-256.965553,102,86.717952
-218.156002,131,86.908406
-353.632904,144,87.25791
-99.109592,96,87.507064
-159.978081,117,87.808397
-331.32306,115,88.100507
-91.832781,103,88.362985
-145.752146,120,88.671555
-280.857855,112,88.96023
31.512837,94,89.199142
-167.707999,121,89.506751
-84.52742,76,89.709558
18.43865,104,89.974136
-177.969707,93,90.195634
-174.950872,74,90.385356
-93.334029,82,90.610811
-22.394188,126,90.932966
-185.847879,91,91.167866
-56.215842,75,91.362256
-132.746602,102,91.625511
-260.544298,94,91.833723
-115.462617,89,92.06272
-158.263868,111,92.34965
-100.066164,105,102.603729
-89.085532,126,102.9395
-41.285021,137,103.293957
-48.115641,78,103.432457
-85.837026,105,103.70796
-45.403803,130,103.991354
-38.494519,141,104.35376
-83.799284,107,104.626438
-156.941148,131,104.891719
-157.921125,114,105.060681
-135.310608,105,105.262771
-107.481377,125,105.58475
-161.970245,70,105.766409
-56.148333,84,105.98488
-71.994339,169,106.2844
-80.171393,119,106.454768
-63.667036,125,106.732268
-61.199135,99,106.983982
-64.387733,74,107.175814
-271.89403,155,107.442478
-103.769742,99,107.693797
-208.524222,148,108.058902
-64.743764,78,108.277079
-83.948046,117,108.582407
-90.682006,116,108.897398
