#{"t_start": 1786227257.7260935, "env_id": "LunarLander-v3"}
r,l,t
-424.470997,108,0.148839
-87.205998,119,0.27566
-124.427315,85,0.389464
-126.323966,80,0.490239
-113.142891,105,0.635081
-319.267337,114,0.781499
-120.03837,96,0.886996
-53.017653,115,1.007227
-114.734216,100,1.159438
-198.106967,77,1.255197
-91.054889,71,2.213266
-178.117603,89,2.332593
-258.304765,107,2.49762
-70.498376,69,2.628014
-134.039978,64,2.750671
-111.054896,70,2.873036
-218.353261,63,2.96518
-159.389091,102,3.117596
-85.953661,69,3.222991
-142.410793,78,3.343779
-109.256004,99,3.469193
-494.713471,101,3.606667
-215.980486,104,4.72477
-163.233558,118,4.870734
-161.467398,92,5.004812
18.542797,102,5.154535
-208.934324,67,5.249928
-268.492111,95,5.392863
-117.525086,94,5.532675
-318.676177,133,5.732532
-437.318692,120,5.916123
-294.457858,87,6.033489
-121.496911,68,6.118286
-170.934301,126,7.091147
-120.827161,108,7.207141
-197.311549,108,7.323148
-157.936164,135,7.53448
-98.603419,101,7.678612
-90.380376,81,7.874741
-252.739323,79,8.048097
-93.741522,74,8.183424
-302.983675,97,8.338308
-104.979375,75,8.446458
-130.634284,126,9.625594
-194.251629,124,9.838791
-153.110916,141,10.083704
-162.128175,136,10.275367
-166.396696,135,10.475032
-212.795812,120,10.620531
-190.33187,139,10.785143
-99.727694,100,10.904169
-79.420475,73,11.822848
-20.008725,79,11.906221
-57.204912,162,12.083934
-278.984491,139,12.220297
-138.547684,132,12.365767
-66.376272,91,12.462719
-83.305407,133,12.60492
-233.7191,106,12.714411
-45.914985,134,12.856357
-70.152712,112,13.93619
-78.131257,171,14.239841
-257.286235,169,14.471137
-116.84563,143,14.634837
-63.089905,83,14.719691
-129.865741,134,14.863722
-59.990994,93,14.959527
-33.282838,125,15.131435
-75.826142,102,16.376677
-95.512298,115,16.524742
-43.167571,132,16.695411
-33.184918,175,16.972952
-225.054522,137,17.201048
-153.984879,228,17.488707
-48.198041,185,18.548358
-106.784994,105,18.663768
15.448918,139,18.821672
-104.484674,176,19.013803
-167.789792,231,19.245662
-38.125954,145,19.385646
-98.155318,146,19.536976
-233.769234,245,21.092849
32.483229,85,21.203278
-219.89826,244,21.449215
-286.123312,239,21.699529
-316.873175,394,23.182936
22.888055,136,23.395763
-149.140623,188,23.609196
-42.741944,124,23.744879
-15.138305,118,23.868568
41.821607,1000,25.76706
12.841605,141,25.987309
8.898057,204,26.241524
-44.146695,162,27.278541
-12.492236,223,27.496786
-47.795462,342,27.841917
24.789209,156,27.992573
-38.226517,126,28.124658
-175.865678,221,29.290027
-45.295671,320,29.674027
73.846986,1000,32.213486
14.062867,123,32.38587
23.499766,119,32.742538
30.63903,173,33.130172
-0.658815,216,34.512756
-9.171372,125,34.668343
-129.029165,179,34.874474
-9.976778,109,34.992601
-79.737326,118,35.139419
3.360827,159,35.363262
-25.818059,132,35.634443
-81.726939,133,36.8167
-18.421804,200,37.030638
-61.42488,91,37.127887
139.20279,1000,39.582048
-10.160343,407,40.015564
-14.404041,281,40.304081
-195.097333,363,41.626757
-91.722049,427,42.1858
-7.795469,217,42.424786
-113.404498,313,43.596512
17.45972,145,43.741995
-35.43362,326,44.074495
0.263879,201,44.271956
61.554807,1000,46.164614
67.163954,1000,48.007085
84.436139,1000,49.87808
-151.559317,599,51.312052
61.146403,1000,53.201056
-95.32781,652,54.772886
-121.518562,287,55.072735
-12.588667,1000,56.933705
41.567393,228,57.178912
-75.29046,618,58.639113
165.348552,623,59.339215
-209.039317,947,61.187691
-58.599663,414,62.484583
-66.055253,1000,64.323626
-150.232825,618,64.971745
-164.672979,762,66.582398
-64.01475,1000,68.478615
-128.119422,594,69.089625
-194.629659,746,70.687572
-124.116454,1000,72.553795
-119.254168,394,73.768413
-57.883682,1000,75.629214
-72.197256,1000,76.651725
-89.074901,1000,78.50806
-65.914318,1000,80.356833
-30.797164,1000,82.180642
-63.439693,1000,84.017202
-43.506654,1000,85.90875
-130.379693,558,87.255994
-89.479211,372,87.650741
-206.833843,868,89.385232
-76.746159,433,90.676373
-62.410281,1000,92.501146
-92.56883,1000,93.485749
-137.769295,599,94.904957
-110.933811,1000,96.719059
101.339071,856,98.547991
