algorithm,reward_case,mean_shaped_reward,shaped_reward_std_across_seeds,mean_common_reward,common_reward_std_across_seeds,mean_success_rate,success_rate_std_across_seeds,mean_crash_rate,mean_control_use_proxy,mean_episode_length,mean_final_distance_to_pad,mean_abs_angle,mean_speed,n_runs
DQN,attitude_stability,21.735334454387196,57.66561136233079,29.97465757163269,56.94235025615686,0.13333333333333333,0.04509249752822895,0.16166666666666665,535.3833333333333,693.0216666666666,0.39201420536594617,0.12822209940239016,0.30873680755962546,3
DQN,combined_shaping,56.60628197858125,119.86688460179518,76.42805863069489,114.21617236478677,0.18166666666666667,0.3103358395888772,0.03833333333333334,562.1566666666666,811.3283333333334,0.22540951678878626,0.06379774407725437,0.16225354668906714,3
DQN,fuel_saving,4.75057984961051,88.79113984764842,21.146529849610666,86.23594808414953,0.10333333333333333,0.17897858344878398,0.09999999999999999,546.5316666666666,818.775,0.40457659385846156,0.06597595991946138,0.2182978034196231,3
DQN,original_reward,91.40634578115036,2.2465719710145993,91.40634578115036,2.2465719710145993,0.22,0.058949130612757986,0.105,459.0833333333333,645.3766666666667,0.341718111212928,0.06703659253784051,0.23917093219019483,3
DQN,soft_landing,-77.76122933759105,66.32190725318793,-64.48383456506377,65.89407697152929,0.0,0.0,0.26333333333333336,536.2866666666667,809.3716666666666,0.5785378748239599,0.06097393235627835,0.251746493686474,3
PPO,attitude_stability,62.56216576293293,13.842327534396448,66.06356578342042,14.128535675848166,0.12333333333333334,0.14468356276140468,0.05499999999999999,560.0333333333333,749.1066666666667,0.20797732859304233,0.05524443041730215,0.17987835771945906,3
PPO,combined_shaping,48.66869309374295,126.01979571583388,67.95029737127453,119.62974592782759,0.28833333333333333,0.4315476026272575,0.015,612.7733333333334,780.3666666666667,0.16454541210880658,0.04595010962884436,0.1711049190192182,3
PPO,fuel_saving,207.6990336495553,51.98077953206571,213.81388364955544,51.34801162804954,0.7566666666666667,0.23623787446837,0.0016666666666666668,203.82833333333335,361.3283333333334,0.16818954009601536,0.08571509286655805,0.2711508481372156,3
PPO,original_reward,230.41071154088945,6.9698949167118895,230.41071154088945,6.9698949167118895,0.915,0.017320508075688787,0.013333333333333334,239.56166666666664,367.5016666666667,0.11447369717789115,0.06196520824863725,0.24177912100127733,3
PPO,soft_landing,222.3759834299971,15.695367750180548,231.0013408215889,15.237574760346188,0.8883333333333333,0.045092497528229,0.0,235.865,353.715,0.11635400404067091,0.06713438179990237,0.2578214714066809,3
