algorithm,mean_reward,std_reward,min_reward,max_reward,success_rate,crash_rate,mean_episode_length,mean_fuel_proxy,mean_final_distance_to_pad,mean_abs_angle,mean_speed,n_episodes
DQN,209.63998447764308,78.86852121186833,2.087776768950826,298.8923144702801,0.62,0.0,493.82,378.56,0.10562625671271235,0.056952620819090985,0.24951594134804972,50
PPO,-31.874476659168163,114.7239166012676,-174.43503363094175,205.00768239959396,0.02,0.36,419.78,350.4,0.8737873749434948,0.030709999847930276,0.35938707733522607,50
