run_name,algorithm,parameter,value,seed,total_timesteps,learning_rate,gamma,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,batch_size,target_update_interval,train_freq,gradient_steps,net_arch,mean_reward,std_reward,success_rate,crash_rate,mean_episode_length,mean_fuel_proxy,mean_final_distance_to_pad,mean_abs_angle,mean_speed,model_path,n_steps,n_epochs,clip_range,ent_coef,gae_lambda
sens_dqn_target_update_interval_1000_seed_42,DQN,target_update_interval,1000,42,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[128, 128]",132.92559712750594,108.72057221161874,0.3,0.065,707.685,428.685,0.218212832287536,0.05415690556567485,0.15570595299350556,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_target_update_interval_1000_seed_42.zip,,,,,
sens_dqn_target_update_interval_1000_seed_123,DQN,target_update_interval,1000,123,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[128, 128]",-127.47673343395113,66.42180421405801,0.0,0.54,756.08,493.835,0.9651117417216301,0.026909036751288484,0.2699083677318963,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_target_update_interval_1000_seed_123.zip,,,,,
sens_dqn_target_update_interval_2000_seed_42,DQN,target_update_interval,2000,42,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,2000.0,4.0,1.0,"[128, 128]",-82.33761545482015,35.72581622703761,0.0,0.36,1000.0,623.285,0.9627900265157223,0.04942366036454064,0.08129408964498565,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_target_update_interval_2000_seed_42.zip,,,,,
sens_dqn_target_update_interval_2000_seed_123,DQN,target_update_interval,2000,123,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,2000.0,4.0,1.0,"[128, 128]",-174.96133364407112,41.58247607294314,0.0,1.0,893.025,540.565,1.5046022373437882,0.04225746852124172,0.10832428940795044,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_target_update_interval_2000_seed_123.zip,,,,,
sens_dqn_net_arch_64x64_seed_42,DQN,net_arch,"[64, 64]",42,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[64, 64]",-98.2902779248013,97.93910801522858,0.0,0.565,934.44,660.465,0.7347763266041875,0.0427580493338892,0.13362448343608105,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_net_arch_64x64_seed_42.zip,,,,,
sens_dqn_net_arch_64x64_seed_123,DQN,net_arch,"[64, 64]",123,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[64, 64]",-58.22371885240811,37.19394057306327,0.0,0.04,997.34,990.54,0.5759201778098941,0.037587460844506204,0.0857672437912323,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_net_arch_64x64_seed_123.zip,,,,,
sens_dqn_net_arch_128x128_seed_42,DQN,net_arch,"[128, 128]",42,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[128, 128]",132.92559712750594,108.72057221161874,0.3,0.065,707.685,428.685,0.218212832287536,0.05415690556567485,0.15570595299350556,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_net_arch_128x128_seed_42.zip,,,,,
sens_dqn_net_arch_128x128_seed_123,DQN,net_arch,"[128, 128]",123,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[128, 128]",-127.47673343395113,66.42180421405801,0.0,0.54,756.08,493.835,0.9651117417216301,0.026909036751288484,0.2699083677318963,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_net_arch_128x128_seed_123.zip,,,,,
sens_dqn_net_arch_256x256_seed_42,DQN,net_arch,"[256, 256]",42,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[256, 256]",164.20597935081292,105.74913504396693,0.54,0.0,440.39,263.05,0.1756214565038681,0.09649744074015092,0.307670964490646,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_net_arch_256x256_seed_42.zip,,,,,
sens_dqn_net_arch_256x256_seed_123,DQN,net_arch,"[256, 256]",123,50000,0.0001,0.99,0.2,0.01,100000.0,1000.0,128,1000.0,4.0,1.0,"[256, 256]",0.6635553797858796,67.04500805367275,0.025,0.015,931.465,876.33,0.23836145943030715,0.07733223489134136,0.2024799951339491,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_dqn_net_arch_256x256_seed_123.zip,,,,,
