#{"t_start": 1786223727.364324, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.041762
-131.249228,91,0.063657
-207.867674,68,0.082876
-28.939202,100,0.109103
-165.300501,102,0.134642
-402.625129,96,0.15344
-157.741211,85,0.174136
-229.135721,81,0.195312
-119.822411,103,0.21501
-428.380855,88,0.23214
-257.593606,92,0.278412
-373.863151,115,0.419443
-348.014044,95,0.536764
-98.434358,134,0.709088
-164.190638,95,0.804722
-118.862684,84,0.896444
-134.956373,69,0.968065
-84.300658,68,1.045958
-41.092405,82,1.14326
-106.242479,73,1.219125
-71.786996,88,1.300817
-109.196929,73,1.380629
-118.081864,98,1.476629
-205.556155,118,1.592357
-162.489333,83,1.678931
-172.438587,110,1.790952
-84.252574,121,1.91369
-193.665739,124,2.038703
-131.36234,89,2.142116
-101.477306,131,2.283689
-132.724514,73,2.365318
-228.055782,137,2.515642
-85.069082,87,2.608545
-144.723702,88,2.704608
-72.781705,138,2.851208
-100.010218,135,3.008296
-138.712676,174,3.189243
-207.051247,139,3.334704
-136.36576,125,3.468326
-126.021097,109,3.599189
9.663498,122,3.743032
-146.408165,128,3.881009
-91.42254,135,4.025428
-139.039141,130,4.17458
-158.036175,208,4.399769
-227.590498,390,4.82228
-47.16497,120,4.961749
-39.259961,158,5.180213
-6.810149,151,5.396809
-99.162577,356,6.056914
-74.533574,152,6.31955
-70.417527,81,6.443265
-120.176327,1000,7.900083
-44.335304,1000,10.025729
-105.920647,1000,12.202976
-150.132579,1000,13.690205
-114.920435,1000,15.233263
-76.222129,1000,16.986312
-87.15662,1000,18.521867
-88.608963,1000,19.828104
-142.131529,1000,21.370688
-146.802239,1000,22.867027
-147.247751,1000,24.421781
-123.193568,1000,25.695669
-156.773055,1000,26.989675
-129.422968,1000,28.252486
-130.032952,1000,29.558939
-51.260326,1000,30.819906
-130.329589,1000,32.105357
-68.795529,1000,33.38064
-98.445218,1000,34.651511
-87.982012,1000,35.91556
-62.705869,1000,37.197442
-91.756421,1000,38.461949
-69.941725,1000,39.743577
-61.811959,1000,41.020148
-71.585836,1000,42.272445
-29.845598,1000,43.524766
-1.719316,1000,44.80017
-53.824459,1000,46.067178
-117.045214,1000,47.391167
157.273785,704,48.348797
-71.29749,1000,49.665756
-66.003846,1000,50.992005
-92.624064,1000,52.427691
-1.810706,1000,53.737311
-88.785419,1000,55.014548
-52.981433,1000,56.292241
-62.399664,282,56.656152
-74.802423,1000,57.920005
-40.451605,283,58.273927
-28.666143,1000,59.570647
-27.050455,1000,60.843459
23.092561,1000,62.118505
-19.981265,239,62.422318
-109.419309,1000,63.692008
-23.532407,214,63.966609
-94.163573,1000,65.236217
11.455703,1000,66.518013
